subDirectory_filePath,expression
aligned/train_11258_aligned.jpg,0
aligned/train_08251_aligned.jpg,2
aligned/train_01618_aligned.jpg,1
aligned/train_02620_aligned.jpg,5
aligned/train_04925_aligned.jpg,2
aligned/train_01209_aligned.jpg,3
aligned/train_11323_aligned.jpg,0
aligned/train_11821_aligned.jpg,0
aligned/train_02145_aligned.jpg,1
aligned/train_10956_aligned.jpg,0
aligned/train_01384_aligned.jpg,6
aligned/train_11806_aligned.jpg,0
aligned/train_02037_aligned.jpg,2
aligned/train_07999_aligned.jpg,3
aligned/train_09502_aligned.jpg,5
aligned/train_03435_aligned.jpg,3
aligned/train_06522_aligned.jpg,6
aligned/train_01007_aligned.jpg,5
aligned/train_02656_aligned.jpg,1
aligned/train_03704_aligned.jpg,3
aligned/train_08747_aligned.jpg,1
aligned/train_01594_aligned.jpg,1
aligned/train_08327_aligned.jpg,1
aligned/train_09464_aligned.jpg,5
aligned/train_10969_aligned.jpg,0
aligned/train_08331_aligned.jpg,1
aligned/train_04771_aligned.jpg,3
aligned/train_05197_aligned.jpg,2
aligned/train_03248_aligned.jpg,3
aligned/train_02408_aligned.jpg,1
aligned/train_09135_aligned.jpg,3
aligned/train_01262_aligned.jpg,2
aligned/train_09953_aligned.jpg,0
aligned/train_07769_aligned.jpg,6
aligned/train_08170_aligned.jpg,2
aligned/train_05524_aligned.jpg,1
aligned/train_05929_aligned.jpg,1
aligned/train_10910_aligned.jpg,0
aligned/train_09574_aligned.jpg,5
aligned/train_04783_aligned.jpg,2
aligned/train_05169_aligned.jpg,3
aligned/train_07117_aligned.jpg,2
aligned/train_08614_aligned.jpg,1
aligned/train_01826_aligned.jpg,1
aligned/train_08814_aligned.jpg,1
aligned/train_09387_aligned.jpg,4
aligned/train_08118_aligned.jpg,1
aligned/train_10117_aligned.jpg,0
aligned/train_02155_aligned.jpg,2
aligned/train_03681_aligned.jpg,1
aligned/train_07657_aligned.jpg,2
aligned/train_06373_aligned.jpg,1
aligned/train_06148_aligned.jpg,1
aligned/train_01965_aligned.jpg,1
aligned/train_00750_aligned.jpg,1
aligned/train_00625_aligned.jpg,2
aligned/train_07956_aligned.jpg,3
aligned/train_07672_aligned.jpg,1
aligned/train_03679_aligned.jpg,1
aligned/train_07901_aligned.jpg,1
aligned/train_10947_aligned.jpg,0
aligned/train_09368_aligned.jpg,4
aligned/train_03182_aligned.jpg,1
aligned/train_01744_aligned.jpg,1
aligned/train_00219_aligned.jpg,1
aligned/train_06226_aligned.jpg,1
aligned/train_03283_aligned.jpg,1
aligned/train_03069_aligned.jpg,2
aligned/train_09041_aligned.jpg,3
aligned/train_10664_aligned.jpg,0
aligned/train_03376_aligned.jpg,1
aligned/train_08956_aligned.jpg,1
aligned/train_06799_aligned.jpg,1
aligned/train_09490_aligned.jpg,5
aligned/train_10929_aligned.jpg,0
aligned/train_02895_aligned.jpg,2
aligned/train_02175_aligned.jpg,1
aligned/train_02956_aligned.jpg,1
aligned/train_00674_aligned.jpg,2
aligned/train_08164_aligned.jpg,3
aligned/train_09388_aligned.jpg,4
aligned/train_09070_aligned.jpg,1
aligned/train_10691_aligned.jpg,0
aligned/train_10305_aligned.jpg,0
aligned/train_03140_aligned.jpg,1
aligned/train_04318_aligned.jpg,5
aligned/train_08188_aligned.jpg,1
aligned/train_06389_aligned.jpg,1
aligned/train_00737_aligned.jpg,1
aligned/train_12169_aligned.jpg,0
aligned/train_09218_aligned.jpg,4
aligned/train_04976_aligned.jpg,1
aligned/train_06221_aligned.jpg,2
aligned/train_12220_aligned.jpg,0
aligned/train_06891_aligned.jpg,1
aligned/train_08198_aligned.jpg,3
aligned/train_05021_aligned.jpg,1
aligned/train_09165_aligned.jpg,4
aligned/train_02789_aligned.jpg,1
aligned/train_11524_aligned.jpg,0
aligned/train_05290_aligned.jpg,1
aligned/train_11242_aligned.jpg,0
aligned/train_11510_aligned.jpg,0
aligned/train_02129_aligned.jpg,5
aligned/train_06663_aligned.jpg,3
aligned/train_04116_aligned.jpg,2
aligned/train_05088_aligned.jpg,1
aligned/train_05184_aligned.jpg,1
aligned/train_01796_aligned.jpg,2
aligned/train_01966_aligned.jpg,1
aligned/train_09806_aligned.jpg,0
aligned/train_08489_aligned.jpg,6
aligned/train_07078_aligned.jpg,2
aligned/train_10063_aligned.jpg,0
aligned/train_05641_aligned.jpg,1
aligned/train_10946_aligned.jpg,0
aligned/train_03223_aligned.jpg,1
aligned/train_00474_aligned.jpg,3
aligned/train_10602_aligned.jpg,0
aligned/train_02508_aligned.jpg,3
aligned/train_06429_aligned.jpg,1
aligned/train_01143_aligned.jpg,2
aligned/train_04732_aligned.jpg,1
aligned/train_10138_aligned.jpg,0
aligned/train_10521_aligned.jpg,0
aligned/train_00294_aligned.jpg,5
aligned/train_08865_aligned.jpg,1
aligned/train_02418_aligned.jpg,1
aligned/train_09016_aligned.jpg,1
aligned/train_07757_aligned.jpg,1
aligned/train_00614_aligned.jpg,4
aligned/train_07677_aligned.jpg,2
aligned/train_02880_aligned.jpg,1
aligned/train_00380_aligned.jpg,3
aligned/train_08877_aligned.jpg,6
aligned/train_05091_aligned.jpg,1
aligned/train_04666_aligned.jpg,1
aligned/train_08858_aligned.jpg,2
aligned/train_00896_aligned.jpg,1
aligned/train_01990_aligned.jpg,1
aligned/train_11091_aligned.jpg,0
aligned/train_12045_aligned.jpg,0
aligned/train_11694_aligned.jpg,0
aligned/train_00100_aligned.jpg,1
aligned/train_08642_aligned.jpg,6
aligned/train_09729_aligned.jpg,5
aligned/train_08490_aligned.jpg,1
aligned/train_03990_aligned.jpg,2
aligned/train_05099_aligned.jpg,6
aligned/train_06131_aligned.jpg,1
aligned/train_07860_aligned.jpg,1
aligned/train_10165_aligned.jpg,0
aligned/train_08914_aligned.jpg,1
aligned/train_09640_aligned.jpg,5
aligned/train_05863_aligned.jpg,6
aligned/train_10007_aligned.jpg,0
aligned/train_05504_aligned.jpg,1
aligned/train_01935_aligned.jpg,1
aligned/train_03493_aligned.jpg,1
aligned/train_11727_aligned.jpg,0
aligned/train_05237_aligned.jpg,3
aligned/train_03579_aligned.jpg,1
aligned/train_03685_aligned.jpg,1
aligned/train_08531_aligned.jpg,2
aligned/train_02334_aligned.jpg,1
aligned/train_00248_aligned.jpg,2
aligned/train_01748_aligned.jpg,3
aligned/train_03066_aligned.jpg,1
aligned/train_07335_aligned.jpg,3
aligned/train_07411_aligned.jpg,1
aligned/train_05822_aligned.jpg,2
aligned/train_02944_aligned.jpg,1
aligned/train_02799_aligned.jpg,1
aligned/train_04642_aligned.jpg,3
aligned/train_01517_aligned.jpg,1
aligned/train_00972_aligned.jpg,1
aligned/train_00312_aligned.jpg,1
aligned/train_11034_aligned.jpg,0
aligned/train_11657_aligned.jpg,0
aligned/train_00201_aligned.jpg,1
aligned/train_05546_aligned.jpg,1
aligned/train_00430_aligned.jpg,1
aligned/train_05805_aligned.jpg,1
aligned/train_02761_aligned.jpg,1
aligned/train_01079_aligned.jpg,3
aligned/train_11352_aligned.jpg,0
aligned/train_09836_aligned.jpg,0
aligned/train_07742_aligned.jpg,2
aligned/train_09020_aligned.jpg,1
aligned/train_06649_aligned.jpg,2
aligned/train_01723_aligned.jpg,1
aligned/train_07091_aligned.jpg,1
aligned/train_09085_aligned.jpg,6
aligned/train_02639_aligned.jpg,1
aligned/train_05678_aligned.jpg,1
aligned/train_07800_aligned.jpg,1
aligned/train_08476_aligned.jpg,1
aligned/train_00103_aligned.jpg,5
aligned/train_05330_aligned.jpg,2
aligned/train_01840_aligned.jpg,1
aligned/train_06419_aligned.jpg,2
aligned/train_01370_aligned.jpg,3
aligned/train_04420_aligned.jpg,2
aligned/train_11878_aligned.jpg,0
aligned/train_06480_aligned.jpg,1
aligned/train_00386_aligned.jpg,2
aligned/train_09113_aligned.jpg,1
aligned/train_03464_aligned.jpg,1
aligned/train_03653_aligned.jpg,2
aligned/train_09073_aligned.jpg,1
aligned/train_02609_aligned.jpg,2
aligned/train_11586_aligned.jpg,0
aligned/train_08857_aligned.jpg,1
aligned/train_07659_aligned.jpg,5
aligned/train_11820_aligned.jpg,0
aligned/train_04844_aligned.jpg,6
aligned/train_04413_aligned.jpg,2
aligned/train_01054_aligned.jpg,6
aligned/train_02349_aligned.jpg,2
aligned/train_08691_aligned.jpg,1
aligned/train_11513_aligned.jpg,0
aligned/train_06042_aligned.jpg,1
aligned/train_00136_aligned.jpg,3
aligned/train_04784_aligned.jpg,1
aligned/train_10011_aligned.jpg,0
aligned/train_07008_aligned.jpg,2
aligned/train_06444_aligned.jpg,2
aligned/train_05776_aligned.jpg,1
aligned/train_06561_aligned.jpg,3
aligned/train_03911_aligned.jpg,2
aligned/train_10679_aligned.jpg,0
aligned/train_10938_aligned.jpg,0
aligned/train_06070_aligned.jpg,1
aligned/train_02535_aligned.jpg,1
aligned/train_01003_aligned.jpg,3
aligned/train_05602_aligned.jpg,6
aligned/train_04793_aligned.jpg,2
aligned/train_09096_aligned.jpg,1
aligned/train_11331_aligned.jpg,0
aligned/train_10133_aligned.jpg,0
aligned/train_00358_aligned.jpg,1
aligned/train_10558_aligned.jpg,0
aligned/train_08047_aligned.jpg,6
